VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost,TotalCost
V021,CDA,12,CDA-C051-CDA,1,12,31.696864612633664,0.704374769169637,16315.54399534512,150910.95377261852
V022,CDA,23,CDA-C089-CDA,1,23,40.529967769813325,0.9006659504402961,20862.26762046181,179032.24826834138
V023,CDA,15,CDA-C002-CDA,1,15,30.114316654504343,0.6692070367667632,15500.948256897502,145872.71337258577
V024,CDA,11,CDA-C011-CDA,1,11,13.639647766032716,0.3031032836896159,7020.829218515789,93423.53358963865
V025,CDA,12,CDA-C040-CDA,1,12,20.39963755221119,0.45332527893802643,10500.44501371713,114944.8110141741
V026,CDA,12,CDA-C071-CDA,1,12,5.501956396887857,0.12226569770861903,2832.059661134908,67516.16995594006
V027,CDA,12,CDA-C034-CDA,1,12,33.323844433192946,0.7405298762931766,17153.010450348793,156090.64859315928
V028,CDA,18,CDA-C067-CDA,1,18,21.737268513498268,0.48305041141107263,11188.972950632267,119203.32736110208
V029,CDA,12,CDA-C012-CDA,1,12,29.37367389693695,0.6527483088208211,15119.712142739127,143514.78403211973
V030,CDA,12,CDA-C023-CDA,1,12,34.65809720819021,0.7701799379597826,17839.79951032107,160338.41005929094
V031,CDA,12,CDA-C050-CDA,1,12,25.143705737684172,0.5587490163929816,12942.39169023954,130048.14855903664
V032,CDA,18,CDA-C057-C007-CDA,2,9-9,28.584240073565205,0.6352053349681157,14713.36146944567,141001.52219911636
V033,CDA,12,CDA-C077-CDA,1,12,30.32279838189429,0.6738399640420953,15608.261482890854,146536.44116434653
V034,CDA,12,CDA-C054-CDA,1,12,39.54115472285805,0.8786923271746234,20353.289115239568,175884.23760891185
V035,CDA,12,CDA-C053-CDA,1,12,43.9142980607524,0.9758732902389422,22604.307107060977,189806.68926475794
V036,CDA,12,CDA-C044-CDA,1,12,16.686070599767444,0.37080156888372096,8588.93528766977,103122.20371060466
V037,CDA,12,CDA-C033-CDA,1,12,26.18192721625251,0.5818206048056114,13476.802535523662,133353.45717267756
V038,CDA,12,CDA-C055-CDA,1,12,21.540262012069935,0.47867248915710964,11087.566446212842,118576.13239398171
V039,CDA,12,CDA-C072-CDA,1,12,29.043380341588193,0.6454084520352932,14949.697881091188,142463.2529705299
V040,CDA,12,CDA-C064-CDA,1,12,26.337842933212155,0.5852853985158256,13557.058099306048,133849.83446105671
V041,CDA,12,CDA-C019-CDA,1,12,27.550897167645356,0.6122421592810079,14181.461805240611,137711.74513488967
V042,CDA,12,CDA-C082-CDA,1,12,27.912311095328295,0.6202735798961844,14367.494869068987,138862.35181460076
V043,CDA,14,CDA-C005-CDA,1,14,27.670939354354044,0.6149097634300899,14243.251941346452,138093.91452930024
V044,CDA,12,CDA-C032-CDA,1,12,15.809168192576866,0.3513148487239304,8137.561311757988,100330.47464350204
V045,CDA,12,CDA-C060-CDA,1,12,35.94915375704181,0.798870083489818,18504.353881256262,164448.65090838342
V046,CDA,12,CDA-C056-CDA,1,12,30.408145638050588,0.6757365697344575,15652.192860007095,146808.15488511545
V047,CDA,12,CDA-C083-CDA,1,12,43.19605193219563,0.9599122651599029,22234.599362993333,187520.06240869767
V048,CDA,12,CDA-C061-CDA,1,12,11.645066233223941,0.25877924962719867,5994.144618996324,87073.53249922289
V049,CDA,12,CDA-C046-CDA,1,12,35.26957283493989,0.7837682852208865,18154.54854345854,162285.119598487
V050,CDA,12,CDA-C020-CDA,1,12,27.26706521812687,0.6059347826250415,14035.363043856885,136808.13043712438
V051,CDA,12,CDA-C024-CDA,1,12,30.28641481100083,0.6730314402444629,15589.53351850464,146420.60949186463
V052,CDA,12,CDA-C018-CDA,1,12,33.17131547180418,0.7371403438178706,17074.498174433942,155605.0534669602
V053,CDA,12,CDA-C084-CDA,1,12,33.396538928899815,0.742145309531107,17190.42898550738,156322.08066019334
V054,CDA,12,CDA-C017-CDA,1,12,23.187707474507917,0.5152823883223981,11935.567321088814,123820.98215860884
V055,CDA,12,CDA-C025-CDA,1,12,46.673620278833845,1.0371915617518632,24024.631911947108,198591.3384783459
V056,CDA,17,CDA-C052-C080-CDA,2,12-5,46.14315816479689,1.0254035147732643,23751.583518511245,196902.54564278026
V057,CDA,12,CDA-C014-CDA,1,12,27.85207799898499,0.6189350666441109,14336.490675267012,138670.5921792247
V058,CDA,12,CDA-C076-CDA,1,12,32.71444239797736,0.7269876088439413,16839.3287711694,154150.54059332673
V059,CDA,12,CDA-C028-CDA,1,12,24.815264375352243,0.5514503194522721,12773.330820576051,129002.51418679392
V060,CDA,12,CDA-C058-CDA,1,12,20.49901673300605,0.45553370517791225,10551.599139410486,115261.19713127775
V061,CDA,12,CDA-C042-CDA,1,12,29.109290854803895,0.6468731301067532,14983.624450525376,142673.08737634643
V062,CDA,12,CDA-C049-CDA,1,12,9.738307211984027,0.21640682693297839,5012.665501747569,81003.12541639828
V063,CDA,12,CDA-C039-CDA,1,12,26.719712426450258,0.5937713872544502,13753.620396351766,135065.56400561123
V064,CDA,18,CDA-C087-C013-CDA,2,10-8,22.35077124693223,0.4966838054873829,11504.765410263013,121156.4904492977
V065,CDA,12,CDA-C015-CDA,1,12,32.260290165185154,0.7168953370041146,16605.559885026887,152704.68985922105
V066,CDA,12,CDA-C068-CDA,1,12,39.95614267908086,0.8879142817573525,20566.898705337415,177205.40394439545
V067,CDA,12,CDA-C029-CDA,1,12,13.667778131987696,0.3037284029330599,7035.30895425472,93513.09014651521
V068,CDA,12,CDA-C074-CDA,1,12,21.523594187390167,0.47830209305311483,11078.986902772414,118523.06827845151
V069,CDA,12,CDA-C065-CDA,1,12,31.688184158315902,0.7041818701847978,16311.075845701556,150883.31845489578
V070,CDA,12,CDA-C073-CDA,1,12,39.02471532523984,0.8672158961164409,20087.458730570826,174240.08785415537
V071,CDA,12,CDA-C038-CDA,1,12,19.61651081364829,0.43592246252551753,10097.340829341068,112451.62857865571
V072,CDA,22,CDA-C004-CDA,1,22,26.462611981925438,0.5880580440427875,13621.281325433201,134247.052414972
V073,CDA,12,CDA-C085-CDA,1,12,25.200516645132375,0.5600114810029416,12971.634357336561,130229.01322578985
V074,CDA,13,CDA-C026-CDA,1,13,17.461198044681492,0.38802662321514425,8987.921940893948,105589.91938903276
V075,CDA,12,CDA-C048-CDA,1,12,29.193583716439615,0.6487463048097692,15027.013091935762,142941.44429958903
V076,CDA,12,CDA-C027-CDA,1,12,39.637700157268455,0.8808377812726323,20402.98460726766,176191.6021381108
V077,CDA,16,CDA-C003-CDA,1,16,27.31524935631528,0.6070055412514507,14060.165194987552,136961.53069928678
V078,CDA,12,CDA-C081-CDA,1,12,29.12409840305565,0.64720218673457,14991.246441151807,142720.22906797368
V079,CDA,12,CDA-C063-CDA,1,12,29.66651701684421,0.6592559337076491,15270.449285512443,144447.0869238011
V080,CDA,12,CDA-C043-CDA,1,12,27.06201171960777,0.601378038213506,13929.814453566529,136155.31684300862
V081,CDA,12,CDA-C047-CDA,1,12,27.641765180564253,0.6142614484569834,14228.234919258864,138001.03487894256
V082,CDA,12,CDA-C078-CDA,1,12,16.8778991822098,0.37506442627132885,8687.676526421677,103732.91412160826
V083,CDA,12,CDA-C045-CDA,1,12,31.840795592031018,0.7075732353784671,16389.63057316123,151369.17614211512
V084,CDA,19,CDA-C086-CDA,1,19,46.91500828835632,1.0425557397412515,24148.883213690784,199359.82755661508
V085,CDA,12,CDA-C069-CDA,1,12,24.432567509701816,0.5429459446600403,12576.342644467568,127784.15059813841
V086,CDA,12,CDA-C037-CDA,1,12,35.37693288786717,0.786154064174826,18209.810718070577,162626.91382546717
